FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
40622,Boulenger's Skink,Morethia boulengeri,11/08/2013,149.121,-35.3887,1,10,GDA94,ACT Wildlife Atlas,"(-35.3887, 149.121)"
40623,Boulenger's Skink,Morethia boulengeri,30/10/2013,149.104,-35.3873,1,10,GDA94,ACT Wildlife Atlas,"(-35.3873, 149.104)"
40624,Boulenger's Skink,Morethia boulengeri,14/11/2013,149.11,-35.3956,1,10,GDA94,ACT Wildlife Atlas,"(-35.3956, 149.11)"
39252,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.183,-35.2018,1,10,GDA94,ACT Wildlife Atlas,"(-35.2018, 149.183)"
39253,Boulenger's Skink,Morethia boulengeri,13/11/2013,149.129,-35.2232,1,10,GDA94,ACT Wildlife Atlas,"(-35.2232, 149.129)"
39254,Boulenger's Skink,Morethia boulengeri,11/08/2013,149.11,-35.3951,1,10,GDA94,ACT Wildlife Atlas,"(-35.3951, 149.11)"
39255,Boulenger's Skink,Morethia boulengeri,12/06/2012,149.143,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.143)"
39256,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.143,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.143)"
39257,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.145,-35.3622,1,10,GDA94,ACT Wildlife Atlas,"(-35.3622, 149.145)"
39258,Boulenger's Skink,Morethia boulengeri,31/10/2013,149.185,-35.1858,1,10,GDA94,ACT Wildlife Atlas,"(-35.1858, 149.185)"
39259,Boulenger's Skink,Morethia boulengeri,13/11/2013,149.175,-35.187,1,10,GDA94,ACT Wildlife Atlas,"(-35.187, 149.175)"
39260,Boulenger's Skink,Morethia boulengeri,11/08/2013,149.121,-35.3887,1,10,GDA94,ACT Wildlife Atlas,"(-35.3887, 149.121)"
39395,House Mouse,Mus musculus,13/11/2013,149.182,-35.3728,1,10,GDA94,ACT Wildlife Atlas,"(-35.3728, 149.182)"
39396,Common Blue Tongue,Tiliqua scincoides,27/11/2014,149.176,-35.2055,1,10,GDA94,ACT Wildlife Atlas,"(-35.2055, 149.176)"
39397,Shingleback,Tiliqua rugosa,11/03/2014,149.176,-35.2055,1,100,GDA94,ACT Wildlife Atlas,"(-35.2055, 149.176)"
39398,Shingleback,Tiliqua rugosa,22/10/2014,149.176,-35.2055,1,100,GDA94,ACT Wildlife Atlas,"(-35.2055, 149.176)"
