suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
DICKSON,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.255542740344644, 149.14183930270514
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.268096746484666, 149.13490497743058
CITY,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE,-35.28006174431836, 149.13033331051545
TURNER,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.267587469589806, 149.12361563398508
CITY,,,NONE,,-35.27932289573584, 149.1322672359146
BRADDON,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.270160524915475, 149.1318540392682
REID,6.5 metres,WOODEN POLE,,MERCURY VAPOUR,-35.281446960458055, 149.1428359839885
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.244524482875384, 149.13720980621997
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.25153566610318, 149.11779238103307
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.254569471446665, 149.12340105431093
LYNEHAM,6.5 metres,STEEL ORDINARY (LANEWAY),0.15,COMPACT FLUORESCENT,-35.254934242913116, 149.12821189781195
ACTON,,,,,-35.29029883017767, 149.12626691455534
BRADDON,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.27040702091504, 149.13187540878124
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.269401114305275, 149.11554399338468
LYNEHAM,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.258201904750464, 149.13129533148825
DOWNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.248107534842745, 149.14477781144612
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.268152531434446, 149.14625265662337
BRADDON,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.265660773437006, 149.13740945266125
DOWNER,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.243366376916214, 149.14166886017267
DICKSON,6.5 metres,CONCRETE COLUMN,1.5,COMPACT FLUORESCENT,-35.250867828236096, 149.1537772833299
AINSLIE,6.5 metres,CONCRETE COLUMN,1.5,COMPACT FLUORESCENT,-35.27132311908673, 149.14459088638966
